target_time,submercado,horizon,pred_gross
2026-09-01 00:00:00-03:00,N,1,10083.048434713255
2026-09-01 00:00:00-03:00,N,7,9980.34677295979
2026-09-01 00:00:00-03:00,NE,1,14861.337380592671
2026-09-01 00:00:00-03:00,NE,7,14340.736241187187
2026-09-01 00:00:00-03:00,S,1,12388.656514934057
2026-09-01 00:00:00-03:00,S,7,12405.04892822973
2026-09-01 00:00:00-03:00,SECO,1,45129.0838935803
2026-09-01 00:00:00-03:00,SECO,7,44155.91802154314
2026-09-01 01:00:00-03:00,N,1,9841.601220145398
2026-09-01 01:00:00-03:00,N,7,9693.928347476816
2026-09-01 01:00:00-03:00,NE,1,14383.499204344544
2026-09-01 01:00:00-03:00,NE,7,13956.031697163637
2026-09-01 01:00:00-03:00,S,1,11753.376466121494
2026-09-01 01:00:00-03:00,S,7,11686.303978932943
2026-09-01 01:00:00-03:00,SECO,1,43091.65366031492
2026-09-01 01:00:00-03:00,SECO,7,41685.34837448467
2026-09-01 02:00:00-03:00,N,1,9655.807141986868
2026-09-01 02:00:00-03:00,N,7,9427.148943336382
2026-09-01 02:00:00-03:00,NE,1,14082.543779276431
2026-09-01 02:00:00-03:00,NE,7,13638.711030892784
2026-09-01 02:00:00-03:00,S,1,11313.591551380116
2026-09-01 02:00:00-03:00,S,7,11286.192449210945
2026-09-01 02:00:00-03:00,SECO,1,41902.12856746895
2026-09-01 02:00:00-03:00,SECO,7,40548.415482658165
2026-09-01 03:00:00-03:00,N,1,9319.75810063085
2026-09-01 03:00:00-03:00,N,7,9138.671057482505
2026-09-01 03:00:00-03:00,NE,1,13724.358912649051
2026-09-01 03:00:00-03:00,NE,7,13411.41425153019
2026-09-01 03:00:00-03:00,S,1,11213.60771210105
2026-09-01 03:00:00-03:00,S,7,11145.697948011484
2026-09-01 03:00:00-03:00,SECO,1,41319.685414405656
2026-09-01 03:00:00-03:00,SECO,7,39803.93634286733
2026-09-01 04:00:00-03:00,N,1,9060.020871731867
2026-09-01 04:00:00-03:00,N,7,8888.510552841657
2026-09-01 04:00:00-03:00,NE,1,13632.577681287068
2026-09-01 04:00:00-03:00,NE,7,13450.91812793535
2026-09-01 04:00:00-03:00,S,1,11291.35833359956
2026-09-01 04:00:00-03:00,S,7,11265.909463783206
2026-09-01 04:00:00-03:00,SECO,1,41299.39717820539
2026-09-01 04:00:00-03:00,SECO,7,40210.8883038494
